Category,Commodity,Test Type,Parameter,Units,Test Description,Compliance,Test TAT,Method,Key_Parameter,Min. Value,Max Value,Min FSSAI Acceptable Value,Max FSSAI Acceptable Value,Min FSSAI Acceptable Value - Organic,Max FSSAI Acceptable Value - Organic,Price,Key Parameter (For Organic),,"Category, Commodity, Parameter",,,,Unique Category,Unique Commodity,,
"Herbs, Spices & Condiments",Black Pepper Whole,Quality Parameters,Added Colouring Matter,mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,100,0,0,0,0,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Added Colouring Matter",,,,"Herbs, Spices & Condiments",Black Pepper Whole,,Package Created
"Herbs, Spices & Condiments",Black Pepper Whole,Crop Contaminants,"Aflatoxin B1, µg/kg",µg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,100,0,15,0,15,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Aflatoxin B1, µg/kg",,,,,Organic Black Pepper Whole,,Package Created
"Herbs, Spices & Condiments",Black Pepper Whole,Metal Contaminants,"Arsenic as As, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,100000,0,5,0,5,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Arsenic as As, mg/kg",,,,,Black Pepper Powder,,Package Created
"Herbs, Spices & Condiments",Black Pepper Whole,Metal Contaminants,"Cadmium as Cd, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,100000,0,1.5,0,1.5,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Cadmium as Cd, mg/kg",,,,,Organic Black Pepper Powder,Tested,Package Created
"Herbs, Spices & Condiments",Black Pepper Whole,Metal Contaminants,"Copper as Cu, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,100000,0,30,0,30,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Copper as Cu, mg/kg",,,,,Chilli whole,,Package Created
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Copper Oxychloride (Copper determined as elemental copper), mg/ kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,10000,0,30,0,30,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Copper Oxychloride (Copper determined as elemental copper), mg/ kg",,,,,Organic Chilli Whole,,Package Created
"Herbs, Spices & Condiments",Black Pepper Whole,Quality Parameters,"Diameter,mm",mm,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,2,100,2,100,2,100,100,N/A,,"Herbs, Spices & Condiments Black Pepper Whole Diameter,mm",,,,,Chilli Powder,,Package Created
"Herbs, Spices & Condiments",Black Pepper Whole,Metal Contaminants,"Lead as Pb (on Dry Basis), mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,100000,0,10,0,10,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Lead as Pb (on Dry Basis), mg/kg",,,,,Organic Chilli Powder,Tested,Package Created
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Mancozeb, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,20,0,2,0,0.1,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Mancozeb, mg/kg",,,,,Coriander Whole,,Package Created
"Herbs, Spices & Condiments",Black Pepper Whole,Metal Contaminants,"Mercury as Hg, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,100000,0,1,0,1,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Mercury as Hg, mg/kg",,,,,Organic Coriander Whole,,Package Created
"Herbs, Spices & Condiments",Black Pepper Whole,Pesticide Residue,"Metalaxyl-M, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,5,0,0.5,0,0.025,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Metalaxyl-M, mg/kg",,,,,Coriander Powder,,Package Created
"Herbs, Spices & Condiments",Black Pepper Whole,Metal Contaminants,"Tin as Sn, mg/kg",mg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,100000,0,250,0,250,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Tin as Sn, mg/kg",,,,,Organic Coriander powder,,Package Created
"Herbs, Spices & Condiments",Black Pepper Whole,Crop Contaminants,"Total Aflatoxins, µg/kg",µg/kg,FSSAI Manual of Methods of Analysis of Foods,FSSAI,,,Yes,0,300,0,30,0,30,100,Yes,,"Herbs, Spices & Condiments Black Pepper Whole Total Aflatoxins, µg/kg",,,,,Cumin Whole,,Package Created
